x,Curve1,Curve2,Curve3,Curve4,Curve5,Curve6,Curve7,Curve8,Curve9,Curve10,Curve11,Curve12,Curve13,Curve14
15.0544,1139.04,1780.43,2431.08,3098.99,3727.55,4445.8,5187.24,5931.71,6648.81,7295.13,7920.55,8468.81,9000.37,9723.18
15.1443,1137.42,1777.4,2426.19,3092.04,3716.98,4434.43,5172.12,5913.72,6625.74,7270.96,7894.82,8446.64,8980.09,9698.16
15.1635,1137.07,1776.76,2425.14,3090.55,3714.72,4432,5168.88,5909.87,6620.76,7265.77,7889.32,8441.9,8975.74,9692.81
15.2255,1135.94,1774.67,2421.77,3085.74,3707.4,4424.16,5158.38,5897.4,6604.61,7249.03,7871.6,8426.59,8961.69,9675.54
15.2541,1135.43,1773.71,2420.22,3083.53,3704.04,4420.55,5153.53,5891.65,6597.12,7241.32,7863.46,8419.54,8955.22,9667.59
15.3722,1133.29,1769.75,2413.83,3074.34,3690.11,4405.63,5133.41,5867.81,6565.87,7209.4,7829.87,8390.38,8928.37,9634.71
16.5368,1112.35,1730.77,2351.37,2983.32,3557.01,4259.02,4933.91,5630.87,6248.34,6906.11,7511.87,8101.84,8657.07,9310.45
17.0202,1103.71,1714.64,2325.66,2945.87,3506.66,4198.68,4854.67,5533.89,6123.77,6788.26,7389.34,7981.62,8540.66,9175.85
17.0787,1102.66,1712.69,2322.56,2941.37,3500.85,4191.4,4845.37,5522.29,6109.48,6774.22,7374.92,7967.06,8526.41,9159.56
17.0841,1102.57,1712.51,2322.27,2940.96,3500.33,4190.74,4844.53,5521.23,6108.18,6772.95,7373.61,7965.73,8525.1,9158.07
17.2148,1100.23,1708.15,2315.34,2930.92,3487.62,4174.5,4824.03,5495.42,6077.07,6741.75,7341.72,7933.2,8493.12,9121.66
17.247,1099.66,1707.08,2313.63,2928.45,3484.55,4170.52,4819.06,5489.11,6069.6,6734.11,7333.94,7925.21,8485.24,9112.72
17.3417,1097.97,1703.92,2308.61,2921.21,3475.61,4158.79,4804.52,5470.56,6048,6711.67,7311.15,7901.65,8461.93,9086.34
18.4555,1078.19,1666.85,2249.77,2837.29,3380.92,4022.57,4644.9,5260.67,5830.17,6454.5,7053.6,7625.43,8181.71,8776.23
19.1724,1065.51,1643.02,2212.02,2784.2,3326.92,3936.99,4548.36,5133.91,5706.63,6294.95,6893.22,7448.46,7997.12,8576.62
19.1726,1065.5,1643.01,2212.01,2784.19,3326.91,3936.97,4548.34,5133.88,5706.6,6294.92,6893.19,7448.42,7997.07,8576.57
19.2147,1064.76,1641.61,2209.8,2781.09,3323.84,3932.01,4542.73,5126.62,5699.41,6285.71,6883.83,7438.05,7986.21,8564.87
19.5473,1058.88,1630.56,2192.31,2756.65,3299.74,3893.05,4498.36,5069.65,5642.15,6213.46,6809.8,7356.13,7900.33,8472.25
19.6392,1057.26,1627.51,2187.48,2749.91,3293.12,3882.36,4486.08,5054.07,5626.2,6193.7,6789.34,7333.51,7876.65,8446.66
19.9634,1051.54,1616.74,2170.46,2726.2,3269.73,3844.91,4442.55,4999.56,5569.45,6124.69,6716.99,7253.76,7793.38,8356.39
19.9809,1051.23,1616.16,2169.54,2724.92,3268.46,3842.9,4440.18,4996.63,5566.36,6120.99,6713.07,7249.45,7788.9,8351.52
20.3296,1045.09,1604.58,2151.23,2699.5,3242.94,3803.05,4392.82,4938.75,5504.62,6047.98,6634.78,7163.72,7700.07,8254.43
20.9666,1033.87,1583.44,2117.82,2653.23,3194.31,3731.19,4305.08,4834.51,5390.58,5917.33,6490.63,7007.2,7540.38,8077.07
21.3095,1027.84,1572.06,2099.85,2628.39,3167.04,3692.95,4257.32,4779.04,5328.73,5848.25,6412.53,6923.01,7455.98,7981.62
22.8117,1001.43,1522.23,2021.16,2519.94,3040.81,3527.62,4045.57,4538.86,5055.7,5551.85,6067.73,6554.24,7093.51,7563.36
22.8762,1000.3,1520.09,2017.78,2515.29,3035.25,3520.56,4036.43,4528.61,5043.94,5539.23,6052.88,6538.41,7078.08,7545.41
22.8905,1000.05,1519.61,2017.04,2514.26,3034.02,3519,4034.41,4526.33,5041.34,5536.44,6049.59,6534.91,7074.66,7541.43
22.8975,999.92,1519.38,2016.67,2513.75,3033.41,3518.23,4033.41,4525.21,5040.05,5535.06,6047.96,6533.17,7072.97,7539.46
22.8978,999.92,1519.37,2016.65,2513.73,3033.39,3518.2,4033.37,4525.16,5040,5535,6047.89,6533.1,7072.9,7539.38
22.9549,998.91,1517.48,2013.66,2509.61,3028.47,3511.96,4025.29,4516.09,5029.6,5523.84,6034.76,6519.1,7059.24,7523.5
22.9619,998.79,1517.24,2013.3,2509.11,3027.86,3511.19,4024.29,4514.97,5028.32,5522.47,6033.14,6517.38,7057.57,7521.55
22.9832,998.42,1516.54,2012.18,2507.57,3026.02,3508.86,4021.27,4511.58,5024.44,5518.3,6028.23,6512.14,7052.46,7515.61
22.9835,998.41,1516.53,2012.16,2507.55,3026,3508.83,4021.23,4511.53,5024.39,5518.24,6028.17,6512.07,7052.39,7515.53
23.0186,997.79,1515.36,2010.33,2505.02,3022.97,3504.99,4016.26,4505.95,5017.99,5511.37,6020.08,6503.45,7043.99,7505.76
23.0192,997.78,1515.34,2010.3,2504.98,3022.92,3504.92,4016.18,4505.86,5017.89,5511.26,6019.95,6503.32,7043.86,7505.6
23.026,997.66,1515.12,2009.94,2504.48,3022.32,3504.17,4015.21,4504.77,5016.63,5509.92,6018.37,6501.63,7042.21,7503.69
23.0904,996.53,1512.98,2006.57,2499.84,3016.77,3497.13,4006.09,4494.53,5004.91,5497.33,6003.55,6485.84,7026.81,7485.77
23.1547,995.4,1510.85,2003.2,2495.21,3011.22,3490.1,3996.98,4484.3,4993.19,5484.74,5988.75,6470.06,7011.43,7467.87
