x,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5
8.0168,1063.94,1644.3,2234.53,2866.36,3612.99,4260.06,4839.16,5380.49,5895.33,6407.22,6947.54,7517.4,8026.65,8606.14
10.0006,1082.73,1683.73,2295.85,2968.43,3797.08,4470.45,5049.2,5583.1,6054.54,6572.71,7131.84,7690.26,8259.82,8876.57
10.0094,1082.82,1683.9,2296.13,2968.88,3797.9,4471.39,5050.13,5583.99,6055.21,6573.43,7132.66,7690.91,8260.92,8877.77
10.0445,1083.15,1684.61,2297.21,2970.7,3801.19,4475.13,5053.86,5587.57,6057.87,6576.33,7135.92,7693.49,8265.32,8882.55
10.0557,1083.26,1684.83,2297.56,2971.28,3802.24,4476.33,5055.05,5588.71,6058.73,6577.25,7136.96,7694.32,8266.73,8884.08
10.0651,1083.35,1685.02,2297.85,2971.77,3803.11,4477.33,5056.04,5589.66,6059.44,6578.02,7137.82,7695,8267.9,8885.36
10.0711,1083.4,1685.14,2298.04,2972.08,3803.68,4477.97,5056.68,5590.28,6059.9,6578.52,7138.38,7695.45,8268.66,8886.18
10.0841,1083.53,1685.4,2298.44,2972.75,3804.89,4479.35,5058.05,5591.6,6060.88,6579.59,7139.59,7696.4,8270.29,8887.95
10.1268,1083.93,1686.26,2299.76,2974.96,3808.89,4483.91,5062.59,5595.95,6064.13,6583.12,7143.55,7699.54,8275.67,8893.77
10.131,1083.97,1686.34,2299.89,2975.18,3809.28,4484.36,5063.03,5596.38,6064.45,6583.46,7143.94,7699.84,8276.2,8894.34
10.1383,1084.04,1686.49,2300.12,2975.56,3809.96,4485.14,5063.8,5597.12,6065,6584.06,7144.62,7700.38,8277.11,8895.33
10.142,1084.08,1686.56,2300.24,2975.75,3810.32,4485.54,5064.2,5597.5,6065.29,6584.37,7144.97,7700.65,8277.59,8895.85
10.1501,1084.16,1686.72,2300.49,2976.17,3811.07,4486.4,5065.06,5598.32,6065.91,6585.04,7145.72,7701.25,8278.61,8896.95
