x,uncor-gnd-run-1,uncor-gnd-run-2,uncor-gnd-run-3,uncor-gnd-run-4,uncor-gnd-run-5,uncor-gnd-run-6,uncor-gnd-run-7,uncor-gnd-run-8,uncor-gnd-run-9,uncor-gnd-run-10,uncor-gnd-run-11,uncor-gnd-run-12,uncor-gnd-run-13,uncor-gnd-run-14,uncor-gnd-run-15,uncor-gnd-run-16
295.12,1.0795,2.1117,3.1939,4.3481,5.4391,6.6419,7.7865,9.0624,10.2882,11.5799,12.8211,14.1024,15.3879,16.5971,17.9324,19.0193
295.38,1.0795,2.1119,3.1944,4.3487,5.4395,6.6425,7.7873,9.0637,10.2895,11.5816,12.8231,14.1046,15.3904,16.5998,17.9354,19.0217
295.47,1.0795,2.112,3.1945,4.3488,5.4396,6.6427,7.7876,9.0642,10.29,11.5822,12.8238,14.1053,15.3912,16.6008,17.9364,19.0226
296.25,1.0797,2.1128,3.1958,4.3504,5.4408,6.6444,7.79,9.0681,10.2939,11.5872,12.8296,14.1118,15.3984,16.6086,17.9451,19.0298
296.4,1.0797,2.1129,3.196,4.3507,5.4411,6.6447,7.7905,9.0689,10.2947,11.5883,12.8308,14.1131,15.3999,16.6103,17.9469,19.0313
296.76,1.0798,2.1133,3.1966,4.3514,5.4416,6.6455,7.7916,9.0707,10.2965,11.5906,12.8335,14.1161,15.4033,16.614,17.951,19.0347
297.03,1.0798,2.1135,3.1971,4.3519,5.442,6.6461,7.7924,9.0721,10.2978,11.5924,12.8355,14.1184,15.4057,16.6167,17.954,19.0372
298.14,1.08,2.1146,3.1989,4.3541,5.4438,6.6485,7.7958,9.0777,10.3034,11.5996,12.8439,14.1277,15.4161,16.6281,17.9666,19.0476
298.4,1.08,2.1148,3.1993,4.3546,5.4442,6.649,7.7966,9.079,10.3047,11.6013,12.8458,14.1299,15.4185,16.6307,17.9696,19.05
298.49,1.0801,2.1149,3.1995,4.3548,5.4443,6.6492,7.7969,9.0794,10.3051,11.6019,12.8465,14.1306,15.4193,16.6316,17.9705,19.0508
299.52,1.0802,2.1159,3.2012,4.3569,5.4459,6.6515,7.8001,9.0847,10.3103,11.6086,12.8543,14.1392,15.429,16.6421,17.9822,19.0604
299.99,1.0803,2.1164,3.202,4.3578,5.4466,6.6525,7.8015,9.0871,10.3127,11.6117,12.8578,14.1432,15.4334,16.647,17.9876,19.0648
300.1,1.0803,2.1165,3.2021,4.358,5.4468,6.6527,7.8018,9.0876,10.3132,11.6124,12.8586,14.1441,15.4344,16.648,17.9888,19.0658
300.96,1.0805,2.1173,3.2036,4.3597,5.4481,6.6546,7.8045,9.092,10.3176,11.618,12.8651,14.1513,15.4425,16.6569,17.9986,19.0738
